UserID,UserName,Artist,Album,Genre,SongTitle,ReviewText,Score,Rating,Sentiment
U019,Neha,Blood Incantation ,Absolute Elsewhere,Progressive Death Metal,Absolute Elsewhere Song,"Blood Incantation belong to the class of bands such as Gorguts, Demilich, and Sigh who push extreme metal far beyond its conventions, and Absolute Elsewhere is a towering achievement which exceeds all expectations. Throughout this record, the sense of adventure and excitement is palpable – this is a band at the peak of their powers, having fun creating; it’s hard not to get caught up in such a truly unique and thrilling journey through the cosmos. If death metal hasn’t yet had its breakthrough critical moment, this might well be it.",93,5,Positive
U020,Sana,Adrianne Lenker ,Bright Future,Singer-Songwriter,Bright Future Song,"Another triumph of human connection. A stunning set of songs, this is an album that whispers its impact long after the last note has finished.",93,5,Positive
U021,Neha,Jessica Pratt ,Here in the Pitch,Singer-Songwriter,Here in Song,"Here In The Pitch is a staggering work that represents a high point in an artist’s career, and, even more, it pulls off some of the most unique pieces of music that feel impossible to replicate The Los Angeles singer-songwriter’s fourth album—and her first in five years—attempts to reckon with time and all of its charms, disasters and unknowns",93,5,Positive
U022,Akhil,Unto Others ,"Never, Neverland",Gothic Metal,"Never, Neverland Song","Unto Others have certainly shown that there is more to them than meets the eye on Never, Neverland: sixteen beautifully written songs that encapsulate all the band’s frustrations and anxieties. It feels like they’re on the cusp of something big and no doubt this album will be hailed as the catalyst for it. Never, Neverland successfully developed its brand of catchiness.",93,5,Positive
U023,Neha,Hamferð ,Men Gu​ð​s Hond Er Sterk,Doom Metal,Men Gu​ð​s Song,"When it comes down to it, the record’s flow is impeccable, the writing is subtle but addictive, and the glimmer of sorrowful hope is just what I need to help me get through my days right now. I don't even like metal, but this is so well produced it captivated me.",93,5,Positive
U024,Ravi,The Smile,Wall of Eyes,Art Rock,Wall of Song,"Still no sign of that elusive new Radiohead album, but it's hard to feel short-changed with a side project this brilliant. Its deceptively airy post-punk, electronica, and jazz melange might prove rock's ne plus ultra in 2024.",93,5,Positive
U025,Neha,Beth Gibbons ,Lives Outgrown,Chamber Folk,Lives Outgrown Song,Portishead singer has channelled grief and trauma into a meditation on metamorphoses that is both a clear and dewy-eyed. This is a brave album from a woman who doesn’t shrink from darkness.,93,5,Positive
U026,Akhil,Sugar Babe,Songs,Post-Bop,Songs Song,Soothing pop/rock album that is a standout  for the 1970's. I love Tatsuro Yamashita so it's a given I'd love this too! I love it!,86,4,Positive
U027,Sana,Adrianne Lenker,Songs of a Lost World,Art Pop,Songs of Song,"songs’ quietly establishes adrianne lenker's presentness as profound, melodically vague, undefinable, bleak, all-inclusive, and oftentimes oddly simple. listeners can readily hear the organizationally-technical thoughtfulness because this project has minimal production.",86,4,Positive
U028,Akhil,Waxahatchee ,Tigers Blood,Post-Bop,Tigers Blood Song,"Tigers Blood delivers a wild, primal energy that’s hard to tame. A song full of raw power and intensity, leaving an unforgettable impact.",86,4,Positive
U029,Neha,Mannequin Pussy ,I Got Heaven,Folk Rock,I Got Song,"I Got Heaven feels like a dreamscape, lifting you up with every note. Angelic vocals and heavenly instrumentals transport listeners to another realm.",86,4,Positive
U030,Neha,Nick Cave & The Bad Seeds ,Wild God,Gothic Rock,Wild God Song,"Wild God roars with untamed melodies and lyrics that echo freedom. Every beat feels like an anthem, wild and uncontainable.",86,4,Positive
U031,Sana,Los Campesinos! ,All Hell,Post-Bop,All Hell Song,"All Hell immerses you in chaos, a symphony of dark and heavy themes. A dark, emotional rollercoaster of sound and rage.",86,4,Positive
U032,Akhil,Billie Eilish ,HIT ME HARD AND SOFT,Electropop,HIT ME Song,HIT ME HARD AND SOFT strikes a balance between delicate and forceful moments. A stunning blend of power and vulnerability that hits right at the heart.,86,4,Positive
U033,Ravi,Arooj Aftab ,Night Reign,Indie Rock,Night Reign Song,"Night Reign envelops you in a mysterious, nocturnal atmosphere. This track brings haunting rhythms and midnight musings to life.",86,4,Positive
U034,Neha,Foxing ,Foxing,Singer-Songwriter,Foxing Song,"Foxing weaves an emotional tapestry with melancholy lyrics and heart-wrenching melodies. A beautiful, somber reflection on love and loss, resonating deeply.",86,4,Positive
U035,Sana,Hurray for the Riff Raff ,The Past Is Still Alive,Dissonant Death Metal,The Past Song,"The Past Is Still Alive is an introspective journey through memories and time. The song captures nostalgia in a vivid, haunting way, stirring deep feelings.",85,4,Positive
U036,Sana,Vampire Weekend ,Only God Was Above Us,Metalcore,Only God Song,"Only God Was Above Us exudes a sense of awe and divine inspiration. It feels otherworldly, like a hymn of wonder, pure and breathtaking.",85,4,Positive
U037,Arya,Oceans of Slumber ,Where Gods Fear To Speak,Tishoumaren,Where Gods Song,"Where Gods Fear To Speak is both mystical and daring, full of epic soundscapes. A fearless exploration of sound, where divine meets human emotion.",85,4,Positive
U038,Sana,Crypt Sermon ,The Stygian Rose,Indie Rock,The Stygian Song,"The Stygian Rose blooms darkly, wrapped in layers of melancholic beauty. A poetic exploration of sorrow, haunting and unforgettable.",85,4,Positive
U039,Neha,The Last Dinner Party ,Prelude to Ecstasy,Symphonic Metal,Prelude to Song,Prelude to Ecstasy sets the stage with a wave of enchanting melodies. A magnificent buildup that preludes a symphonic journey of bliss.,85,4,Positive
U040,Sana,Ihsahn ,IHSAHN,Hypnagogic Pop,IHSAHN Song,"IHSAHN challenges the norm with fierce guitar riffs and bold compositions. It's a heavy, intense experience, full of passion and virtuosity.",85,4,Positive
U041,Neha,Thou ,Umbilical,Noise Rock,Umbilical Song,"Umbilical tugs at your emotions, exploring deep connections. A deeply personal, heart-achingly beautiful piece about belonging.",85,4,Positive
U042,Akhil,Confidence Man ,3AM (LA LA LA),Singer-Songwriter,3AM (LA Song,"3AM (LA LA LA) brings late-night vibes and catchy refrains perfect for midnight drives. A laid-back, melodic tune that echoes the sleepless hours of dawn.",85,4,Positive
U043,Akhil,Christopher Owens ,I Wanna Run Barefoot Through Your Hair,Country Pop,I Wanna Song,"I Wanna Run Barefoot Through Your Hair embodies carefree, sunny day romance. A love song that feels playful and intimate, perfect for lazy afternoons.",85,4,Positive
U044,Neha,Being Dead ,EELS,Art Pop,EELS Song,"EELS surprises with quirky, offbeat melodies that leave a lasting impression. Always inventive, the song jumps between fun and reflective moods.",85,4,Positive
U045,Ravi,Cassandra Jenkins -,"My Light, My Destroyer",Symphonic Metal,"My Light, Song","My Light, My Destroyer explores the paradox of love and loss. A haunting ballad that blends light with darkness in a unique way.",85,4,Positive
U046,Arya,Johnny Blue Skies ,Passage du Desir,Progressive Death Metal,Passage du Song,"Passage du Desir invites you on a sultry, exotic musical adventure. An experience of longing and allure, full of deep, resonant sounds.",85,4,Positive
U047,Sana,Magdalena Bay ,Imaginal Disk,Singer-Songwriter,Imaginal Disk Song,"Imaginal Disk plays with surreal, otherworldly sounds that fascinate the imagination. The song feels like a dream, elusive and hard to pin down.",85,4,Positive
U048,Ravi,The Lovely Eggs ,Eggsistentialism,Singer-Songwriter,Eggsistentialism Song,"Eggsistentialism cracks under its own weight, offering ideas that feel half-baked. The concept is interesting, but the execution falls flat and lacks depth.",85,4,Positive
U049,Neha,St. Vincent ,All Born Screaming,Gothic Metal,All Born Song,"All Born Screaming bombards you with intense, unsettling noise. A chaotic mess that leaves you feeling more anxious than entertained.",85,4,Positive
U050,Neha,Jack White ,No Name,Doom Metal,No Name Song,"No Name is forgettable and uninspired, a track that feels like filler. There’s nothing memorable or captivating here, just empty sounds.",84,4,Positive
U051,Neha,Yaya Bey ,Ten Fold,Art Rock,Ten Fold Song,"Ten Fold tries to be grand but never really takes off. It’s a song that promises a lot but delivers little, feeling unfinished.",84,4,Positive
U052,Arya,Nadine Shah ,Filthy Underneath,Chamber Folk,Filthy Underneath Song,"Filthy Underneath has a raw, gritty sound but lacks a cohesive direction. The track tries too hard to shock, and the result is just unpleasant.",83,4,Positive
U053,Neha,Friko ,"Where we've been, Where we go from here",Post-Bop,Where we've Song,"Where We've Been, Where We Go From Here is a repetitive, uninspired loop. It drags on without offering anything new or interesting.",83,4,Positive
U054,Neha,Myles Kennedy ,The Art Of Letting Go,Art Pop,The Art Song,"The Art Of Letting Go feels hollow and fails to evoke real emotion. Despite the title, the song never quite reaches the emotional depths it aims for.",83,4,Positive
U055,Ravi,Amy Rigby ,Hang in There with Me,Indie Rock,Hang in Song,"Hang in There with Me is cheesy and overly sentimental. Instead of feeling heartfelt, the lyrics come off as clichéd and uninspired.",83,4,Positive
U056,Sana,Zara McFarlane,Sweet Whispers: Celebrating Sarah Vaughan,Hard Rock,Sweet Whispers: Song,"Sweet Whispers: Celebrating Sarah Vaughan doesn’t live up to its promise. Despite the homage, it lacks the magic and elegance of the legend it honors.",83,4,Positive
U057,Neha,Necrophobic ,In the Twilight Grey,Alt-Country,In the Song,"In the Twilight Grey fails to make an impact, lost in a sea of better tracks. A song that fades into the background, offering nothing new or exciting.",83,4,Positive
U058,Akhil,Crawlers ,The Mess We Seem To Make,Vocal Jazz,The Mess Song,"The Mess We Seem To Make lives up to its name, with disjointed lyrics and poor production. It’s hard to make sense of this track, which feels like a rushed, messy endeavor.",83,4,Positive
U059,Sana,BIG SPECIAL ,POSTINDUSTRIAL HOMETOWN BLUES,Melodic Black Metal,POSTINDUSTRIAL HOMETOWN Song,POSTINDUSTRIAL HOMETOWN BLUES feels bleak and uninspired. The attempt at capturing urban decay is dull and unoriginal.,83,4,Positive
U060,Ravi,Young Jesus ,The Fool,Alternative Rock,The Fool Song,The Fool tries to be profound but ends up sounding pretentious. Lyrics that overreach and fail to connect with the listener.,83,4,Positive
U061,Sana,Nala Sinephro ,Endlessness,Post-Punk,Endlessness Song,"Endlessness drags on far too long, with monotonous rhythms that put you to sleep. A tedious listen that feels never-ending, with no real payoff.",83,4,Positive
U062,Ravi,Tems ,Born in the Wild,Art Rock,Born in Song,"Born in the Wild is untamed in all the wrong ways, feeling unrefined and chaotic. The energy is there, but the lack of structure makes it hard to enjoy.",83,4,Positive
U063,Sana,Bob Vylan ,Humble As The Sun,Space Ambient,Humble As Song,"Humble As The Sun is bland and forgettable, lacking any real shine. A song that tries to be uplifting but comes off as uninspired.",83,4,Positive
U064,Ravi,Still House Plants ,"If I don't make it, I love u",Contemporary R&B,If I Song,"If I Don’t Make It, I Love U is melodramatic and overdone. Instead of evoking sympathy, it leaves you feeling exhausted and unimpressed.",83,4,Positive
U065,Ravi,Job for a Cowboy ,Moon Healer,UK Hip Hop,Moon Healer Song,"Moon Healer is a confusing blend of sounds that don’t quite work together. The ambition is clear, but the execution feels scattered and disjointed.",83,4,Positive
U066,Sana,A. G. Cook ,Britpop,Experimental Rock,Britpop Song,"Audio Vertigo lives up to its name, leaving you feeling dizzy and uncomfortable. An unpleasant experience with jarring transitions and an unfocused direction.",83,4,Positive
U067,Neha,Elbow ,Audio Vertigo,Technical Death Metal,Audio Vertigo Song,Letter To Self comes across as whiny and self-indulgent. The personal reflections feel more like complaints than heartfelt expressions.,83,4,Positive
U068,Sana,SPRINTS ,Letter To Self,Bubblegum Bass,Letter To Song,"Sun Without the Heat sounds lifeless, missing the warmth and vibrance you’d expect. The song is dry and uninspired, despite its bright name.",83,4,Positive
U069,Sana,Leyla McCalla ,Sun Without the Heat,Art Rock,Sun Without Song,"Dance, No One’s Watching is awkward and poorly composed. Instead of making you want to move, it makes you wish the song would end.",83,4,Positive
U070,Akhil,Ezra Collective ,"Dance, No One's Watching",Post-Punk,"Dance, No Song","Below a Massive Dark Land is overly dark and depressing, with no sense of relief. A song that leaves you feeling heavy and hopeless, offering no redemption.",83,4,Positive
U071,Sana,Bonny Light Horseman ,Keep Me On Your Mind/See You Free,Singer-Songwriter,Keep Me Song,"Everybody Needs A Hero fails to be uplifting, sounding forced and trite. The message feels empty, and the production doesn’t do it any favors.",83,4,Positive
U072,Sana,Naima Bock ,Below a Massive Dark Land,Jazz-Funk,Below a Song,"For Your Consideration is a desperate attempt to impress, but it falls flat. The song tries too hard and ends up feeling shallow and disingenuous.",83,4,Positive
U073,Neha,Orla Gartland ,Everybody Needs A Hero,Americana,Everybody Needs Song,"Lemons, Limes And Orchids tries to be quirky but comes off as confusing and odd. The strange combination of themes just doesn’t work, leaving you puzzled.",78,4,Positive
U074,Neha,Empress Of ,For Your Consideration,Chamber Folk,For Your Song,"Y'Y is experimental in a way that’s more annoying than intriguing. It pushes boundaries, but not in a way that feels enjoyable or cohesive.",83,4,Positive
U075,Arya,Joan As Police Woman ,"Lemons, Limes And Orchids",Indie Pop,"Lemons, Limes Song","Lemons, Limes And Orchids brings a refreshing yet complex vibe, blending citrusy zest with fragrant melodies. The song feels like a burst of tangy flavor followed by the soothing fragrance of a blooming garden.",83,4,Positive
U076,Ravi,Amaro Freitas ,Y'Y,Dance-Pop,Y'Y Song,"Y'Y defies convention with its eccentric rhythms and unexpected twists. It's a wild ride, full of surprises that keep you guessing, and it grows on you with every listen.",83,4,Positive
U077,Akhil,Borknagar ,Fall,Art Pop,Fall Song,"Fall evokes the gentle transition of seasons, with a bittersweet, mellow sound. A song that feels like a crisp autumn day, full of nostalgia and quiet beauty.",84,4,Positive
U078,Neha,Vitriol ,Suffer & Become,Avant-Garde Jazz,Suffer & Song,"Suffer & Become channels raw emotion and transformation through heavy, intense music. An anthem for growth through pain, with lyrics that resonate deeply and a powerful instrumental backing.",84,4,Positive
U079,Sana,Pallbearer ,Mind Burns Alive,Progressive Metal,Mind Burns Song,"Mind Burns Alive takes you on a frenetic journey, bursting with energy and passion. The track is electric, sparking adrenaline and lighting a fire in your soul.",84,4,Positive
U080,Akhil,Ayra Starr ,The Year I Turned 21,Technical Death Metal,The Year Song,"The Year I Turned 21 captures the rush and uncertainty of coming of age. It’s a celebration and a confession, full of youthful spirit and relatable introspection.",84,4,Positive
U081,Ravi,200 Stab Wounds ,Manual Manic Procedures,Doom Metal,Manual Manic Song,"Manual Manic Procedures plays with fast-paced beats and chaotic, clever lyrics. A whirlwind of sound, capturing the feeling of life's unpredictable moments with precision.",86,4,Positive
U082,Akhil,Shellac ,To All Trains,Afrobeats,To All Song,"To All Trains is a rhythmic, traveling song, full of movement and momentum. It feels like a journey through landscapes, powered by the pulsing beat of wheels on tracks.",74,3,Positive
U083,Sana,Kelly Moran ,Moves in the Field,Death Metal,Moves in Song,"Moves in the Field combines elegance and strength in a graceful musical dance. The song feels like a choreographed masterpiece, balancing beauty with discipline.",84,4,Positive
U084,Arya,Hamish Hawk ,A Firmer Hand,Noise Rock,A Firmer Song,"A Firmer Hand has a commanding presence, with bold instrumentals and assertive lyrics. A track that stands tall, making an impact with every beat and word.",84,4,Positive
U085,Arya,Meshell Ndegeocello ,No More Water: The Gospel of James Baldwin,Modern Classical,No More Song,"No More Water: The Gospel of James Baldwin is both powerful and reflective. The lyrics are thought-provoking, drawing inspiration from Baldwin’s legacy and social themes.",84,4,Positive
U086,Neha,Wunderhorse ,Midas,Singer-Songwriter,Midas Song,"Midas has a golden touch, with shimmering melodies and rich, luxurious soundscapes. A track that feels opulent, leaving a lasting shine and warmth on the listener.",84,4,Positive
U087,Ravi,Yard Act ,Where's My Utopia?,Neo-Soul,Where's My Song,"Where's My Utopia? searches for perfection with a melancholy yet hopeful tune. It’s a question set to music, full of longing and the dream of something better.",50,2,Neutral
U088,Neha,Blue Bendy ,So Medieval,Alternative Rock,So Medieval Song,"So Medieval brings a touch of old-world charm with lutes, chants, and modern twists. The song feels like stepping back in time but with a contemporary, exciting edge.",84,4,Positive
U089,Sana,LAVA LA RUE ,STARFACE,Dance-Punk,STARFACE Song,"STARFACE shines bright with cosmic energy and starry, futuristic vibes. It’s an out-of-this-world experience, full of shimmer and celestial sound effects.",84,4,Positive
U090,Sana,AURORA ,What Happened To The Heart?,Art Rock,What Happened Song,"What Happened To The Heart? explores heartbreak and healing with deep, emotional tones. A ballad that aches and soothes, capturing the complexity of love lost.",20,1,Negative
U091,Arya,Undeath -,More Insane,Alt-Pop,More Insane Song,"More Insane lives up to its name, with wild rhythms and unpredictable tempo changes. The track feels chaotic in the best way, taking you on a thrilling, unhinged journey.",84,4,Positive
U092,Sana,Melt-Banana ,3 + 5,Alt-Pop,3 + Song,"3 + 5 plays with numbers and beats in a fun, math-inspired musical adventure. A quirky and playful song that adds up to a joyful, catchy tune.",84,4,Positive
U093,Sana,Katy J Pearson ,"Someday, Now",Death Metal,"Someday, Now Song","Someday, Now reflects on living in the moment, with an uplifting and hopeful chorus. A reminder to seize the day, with melodies that feel both urgent and inspiring.",69,3,Neutral
U094,Ravi,Julia-Sophie ,forgive too slow,Noise Rock,forgive too Song,"forgive too slow is a song of regret, capturing the difficulty of moving on. The lyrics cut deep, and the slow, haunting melody stays with you long after.",84,4,Positive
U095,Ravi,Redd Kross ,Redd Kross,Art Pop,Redd Kross Song,Redd Kross brings punk energy and rebellion with fierce guitar riffs and a no-nonsense attitude. A high-octane anthem that makes you want to jump up and scream along.,79,4,Positive
U096,Akhil,Rosie Lowe ,"Lover, Other",Art Pop,"Lover, Other Song","Lover, Other explores love from all angles, with a dreamy, romantic sound. It's a song full of longing and sweet melodies, perfect for those in love or heartbroken.",78,4,Positive
U097,Ravi,Anastasia Coope ,Darning Woman,Power Pop,Darning Woman Song,"Darning Woman tells a story of resilience and the quiet strength of women. The lyrics paint a vivid picture, accompanied by a gentle yet powerful instrumental.",84,4,Positive
U098,Ravi,Chat Pile ,Cool World,Alternative R&B,Cool World Song,"Cool World captures a sense of detachment, with icy synths and laid-back vocals. A song that makes you feel like an outsider observing a world that’s effortlessly chic.",85,4,Positive
U099,Ravi,Judas Priest ,Invincible Shield,Freak Folk,Invincible Shield Song,"Invincible Shield has a triumphant, almost superhero-like sound. An empowering track that makes you feel ready to take on any challenge.",84,4,Positive
U100,Neha,Neil & The Horse ,Fu##in' Up,Noise Rock,Fu##in' Up Song,"Fu##in' Up delivers raw, unfiltered emotion, with unapologetic lyrics and aggressive beats. It’s a cathartic anthem for those moments when everything feels like a mess.",66,3,Neutral
U101,Sana,The Jesus Lizard ,Rack,Heavy Metal,Rack Song,"Rack has a heavy, gritty sound, with lyrics that are equally hard-hitting. A song that commands attention, with a bass line you can feel in your chest.",84,4,Positive
U102,Akhil,"Vijay Iyer, Linda May Han Oh & Tyshawn Sorey",Compassion,Jam Band,Compassion Song,"Compassion delivers a tender, heartfelt message over a simple yet moving melody. A song that reminds you of the importance of empathy, wrapping you in warmth.",82,4,Positive
U103,Neha,Nilüfer Yanya ,My Method Actor,Noise Rock,My Method Song,"My Method Actor explores the art of pretending, with theatrical flair and dramatic lyrics. It’s a clever play on the masks we wear, set to an engaging, dynamic beat.",82,4,Positive
U104,Arya,"Tyler, The Creator ",CHROMAKOPIA,Post-Bop,CHROMAKOPIA Song,"CHROMAKOPIA bursts with colorful, vibrant sounds that paint vivid musical landscapes. An explosion of melody and rhythm that feels like a visual masterpiece in audio form.",82,4,Positive
U105,Neha,Nubya Garcia ,ODYSSEY,Jazz Fusion,ODYSSEY Song,"ODYSSEY takes you on an epic journey, with sweeping instrumentals and adventurous themes. A track that feels like an adventure through sound, full of highs and lows.",82,4,Positive
U106,Arya,Tucker Zimmerman ,Dance of Love,Jazz Fusion,Dance of Song,"Dance of Love spins a romantic tale, with rhythmic beats that make you want to move. It’s a celebration of passion and connection, perfect for a romantic dance floor.",82,4,Positive
U107,Neha,Sum 41 ,Heaven :x: Hell,Jazz Fusion,Heaven :x: Song,"Heaven :x: Hell explores the duality of life with contrasting light and dark sounds. A song full of opposites, blending angelic choirs with heavy, demonic riffs.",82,4,Positive
U108,Arya,Jamie xx ,In Waves,UK Bass,In Waves Song,"In Waves captures the ebb and flow of emotion, with a soothing yet powerful melody. The song washes over you, like the calm and intensity of the ocean.",82,4,Positive
U109,Akhil,1349,The Wolf and the King,UK Bass,The Wolf Song,"The Wolf and the King tells an epic story through rich, cinematic music. A track full of drama and grandeur, like a tale passed down through generations.",82,4,Positive
U110,Neha,Rich Ruth ,Water Still Flows,UK Bass,Water Still Song,"Water Still Flows is serene and calming, with a flowing, meditative sound. A song that feels like nature itself, gentle and persistent.",82,4,Positive
U111,Arya,Wheel,Charismatic Leaders,UK Bass,Charismatic Leaders Song,"Charismatic Leaders critiques society with sharp lyrics and a catchy, rebellious tune. It’s a clever take on modern power dynamics, full of wit and rhythm.",82,4,Positive
U112,Arya,Jazmin Bean ,TRAUMATIC LIVELIHOOD,Indie Rock,TRAUMATIC LIVELIHOOD Song,"TRAUMATIC LIVELIHOOD is a raw portrayal of struggles, with gritty instrumentals. A haunting, heavy track that leaves you feeling unsettled and reflective.",82,4,Positive
U113,Neha,Enterprise Earth ,Death: An Anthology,Indie Rock,Death: An Song,"Death: An Anthology is a compilation of dark, reflective tracks that confront mortality. A heavy, thought-provoking experience, with songs that linger in your mind.",82,4,Positive
U114,Akhil,Gary Clark Jr. ,JPEG RAW,Indie Rock,JPEG RAW Song,"JPEG RAW combines digital and gritty sounds for a futuristic, edgy vibe. The production feels ahead of its time, mixing clean and distorted elements seamlessly.",82,4,Positive
U115,Arya,Amyl and The Sniffers ,Cartoon Darkness,Indie Rock,Cartoon Darkness Song,"Cartoon Darkness plays with playful yet unsettling themes, like a dark animated fantasy. A whimsical but creepy experience, full of surprises and twists.",82,4,Positive
U116,Neha,Yasmin Williams ,Acadia,Indie Rock,Acadia Song,"Acadia paints a natural, serene landscape, evoking images of lush forests and open skies. It’s a song that makes you feel at peace, as if you’re surrounded by nature.",82,4,Positive
U117,Ravi,Lip Critic ,Hex Dealer,Post-Industrial,Hex Dealer Song,"Hex Dealer spins a tale of mystery and magic, with enchanting and haunting melodies. A spellbinding track that leaves you entranced, like a musical incantation.",82,4,Positive
U118,Sana,Vince Staples ,Dark Times,Post-Industrial,Dark Times Song,"Dark Times is somber and reflective, with lyrics that echo struggle and perseverance. It’s a song for tough moments, offering solace through shared hardship.",82,4,Positive
U119,Akhil,Geordie Greep ,The New Sound,Art Rock,The New Song,"The New Sound is full of innovation, blending genres in a fresh, exciting way. A track that feels like the future of music, bold and groundbreaking.",82,4,Positive
U120,Neha,Rachel Chinouriri ,What A Devastating Turn of Events,Art Rock,What A Song,"What A Devastating Turn of Events is dramatic and intense, capturing shock and chaos. The song leaves you breathless, with unexpected twists and a sense of urgency.",82,4,Positive
U121,Sana,MJ Lenderman ,Manning Fireworks,Art Rock,Manning Fireworks Song,"Manning Fireworks explodes with joy and celebration, with bright, dynamic instrumentals. A track that lights up your day, like a burst of fireworks in the sky.",82,4,Positive
U122,Ravi,meth. ,SHAME,Art Rock,SHAME Song,"SHAME explores vulnerability, with a hauntingly honest portrayal of self-doubt. It’s raw and poignant, touching on emotions we often keep hidden.",82,4,Positive
U123,Sana,Hermanos Gutiérrez ,Sonido Cósmico,Art Rock,Sonido Cósmico Song,"Sonido Cósmico is a cosmic journey, full of psychedelic, space-inspired sounds. The track feels like floating through the stars, weightless and dreamlike.",83,4,Positive
